#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
514,104844.609375,332372.414294,0.000000,303233.029173,303156.862540,179187.294412,306203.800780
515,105107.187500,332375.907084,0.000000,303233.029173,303156.862540,-44689.465700,306203.800780
516,115651.421875,332515.960189,0.000000,303233.029173,303156.862540,-125720.701315,306203.800780
517,115853.671875,332518.642647,0.000000,303233.029173,303156.862540,63745.547436,306203.800780
518,124108.062500,332627.995655,0.000000,303233.029173,303156.862540,160191.902994,306203.800780
519,130883.140625,332717.567791,0.000000,303233.029173,303156.862540,-5573.315302,306203.800780
520,132590.390625,332740.113018,0.000000,303233.029173,303156.862540,-2776.624580,306203.800780
521,139702.890625,332833.925025,0.000000,303233.029173,303156.862540,113213.914336,306203.800780
522,143600.906250,332885.261769,0.000000,303233.029173,303156.862540,-209886.961709,306203.800780
523,156434.828125,333053.898940,0.000000,303233.029173,303156.862540,-111989.254659,306203.800780
524,157111.609375,333062.775426,nan,303233.029173,303156.862540,229826.595837,306203.800780
525,160237.625000,333103.754134,0.000000,303233.029173,303156.862540,78766.925526,306203.800780
526,160712.375000,333109.974535,0.000000,303233.029173,303156.862540,-500.554534,306203.800780
527,161361.171875,333118.474076,0.000000,303233.029173,303156.862540,-54038.821816,306203.800780
528,163588.484375,333147.641436,0.000000,303233.029173,303156.862540,197598.910792,306203.800780
529,164445.906250,333158.864911,0.000000,303233.029173,303156.862540,-187384.147369,306203.800780
530,166927.109375,333191.328520,0.000000,303233.029173,303156.862540,256316.315480,306203.800780
531,172704.984375,333266.839802,0.000000,303233.029173,303156.862540,-45045.152364,306203.800780
532,173059.875000,333271.473989,0.000000,303233.029173,303156.862540,-52659.309150,306203.800780
533,180343.750000,333366.487885,0.000000,303233.029173,303156.862540,47817.441280,306203.800780
534,181730.437500,333384.554928,nan,303233.029173,303156.862540,205885.862985,306203.800780
535,183983.437500,333413.894440,0.000000,303233.029173,303156.862540,-41118.467269,306203.800780
536,184523.718750,333420.927515,0.000000,303233.029173,303156.862540,-260309.480094,306203.800780
537,185509.937500,333433.762861,0.000000,303233.029173,303156.862540,-27215.797126,306203.800780
538,198002.875000,333596.054227,0.000000,303233.029173,303156.862540,152549.209972,306203.800780
539,200014.281250,333622.131664,0.000000,303233.029173,303156.862540,85065.589806,306203.800780
540,203790.156250,333671.046098,0.000000,303233.029173,303156.862540,25566.232362,306203.800780
541,204144.343750,333675.631800,0.000000,303233.029173,303156.862540,-2491.872210,306203.800780
542,207370.281250,333717.377773,0.000000,303233.029173,303156.862540,-256505.863087,306203.800780
543,208431.640625,333731.104429,0.000000,303233.029173,303156.862540,-262861.476061,306203.800780
544,211318.812500,333768.424182,0.000000,303233.029173,303156.862540,112245.229930,306203.800780
545,223689.031250,333927.986497,0.000000,303233.029173,303156.862540,26261.210355,306203.800780
546,225611.796875,333952.739202,0.000000,303233.029173,303156.862540,87766.582756,306203.800780
547,228385.546875,333988.423895,0.000000,303233.029173,303156.862540,103397.461924,306203.800780
548,230415.437500,334014.521406,0.001136,303233.029173,303156.862540,36733.049122,306203.800780
549,237669.375000,334107.662853,0.000000,303233.029173,303156.862540,-39178.655815,306203.800780
550,238663.531250,334120.413385,0.000000,303233.029173,303156.862540,-35886.068953,306203.800780
551,240184.515625,334139.913953,0.000000,303233.029173,303156.862540,250368.293171,306203.800780
552,250432.296875,334271.087031,0.000000,303233.029173,303156.862540,56030.573878,306203.800780
553,253223.031250,334306.744332,0.000000,303233.029173,303156.862540,-41604.439392,306203.800780
554,254317.343750,334320.718865,0.000000,303233.029173,303156.862540,-187906.082309,306203.800780
555,263685.375000,334440.176456,0.000000,303233.029173,303156.862540,31089.339060,306203.800780
556,265927.125000,334468.716340,0.000000,303233.029173,303156.862540,131805.785010,306203.800780
557,270468.250000,334526.475251,0.000000,303233.029173,303156.862540,44080.754593,306203.800780
558,274973.312500,334583.703424,0.000000,303233.029173,303156.862540,91765.940016,306203.800780
559,276030.875000,334597.127329,0.000000,303233.029173,303156.862540,39825.300603,306203.800780
560,276704.312500,334605.673379,0.000000,303233.029173,303156.862540,185986.740496,306203.800780
561,276965.093750,334608.982313,0.000000,303233.029173,303156.862540,-91518.703179,306203.800780
562,280617.031250,334655.294826,0.000000,303233.029173,303156.862540,78440.559233,306203.800780
563,282542.843750,334679.698293,0.000000,303233.029173,303156.862540,87551.033028,306203.800780
564,283031.656250,334685.890332,0.000000,303233.029173,303156.862540,178572.437553,306203.800780
565,289475.875000,334767.443695,0.000000,303233.029173,303156.862540,57148.435187,306203.800780
566,289590.406250,334768.891794,0.000000,303233.029173,303156.862540,-47304.612536,306203.800780
567,290824.062500,334784.486840,0.000000,303233.029173,303156.862540,-254787.157436,306203.800780
568,290848.000000,334784.789389,0.000000,303233.029173,303156.862540,38430.784281,306203.800780
569,291318.375000,334790.734098,0.000000,303233.029173,303156.862540,-102056.621617,306203.800780
570,295777.093750,334847.045661,0.000000,303233.029173,303156.862540,130007.665844,306203.800780
571,296969.687500,334862.095687,0.000000,303233.029173,303156.862540,82162.906552,306203.800780
572,297877.187500,334873.544591,0.000000,303233.029173,303156.862540,38865.317782,306203.800780
573,298979.375000,334887.445744,0.000000,303233.029173,303156.862540,-39120.186257,306203.800780
574,300224.468750,334903.144127,0.000000,303233.029173,303156.862540,-2385.726460,306203.800780
575,301418.750000,334918.196723,0.000000,303233.029173,303156.862540,320316.308437,306203.800780
576,301952.187500,334924.918489,0.000000,303233.029173,303156.862540,-59025.027847,306203.800780
577,305833.062500,334973.790639,0.000000,303233.029173,303156.862540,232311.818293,306203.800780
578,308565.937500,335008.174108,0.000000,303233.029173,303156.862540,-398351.457117,306203.800780
579,313298.187500,335067.650381,0.000000,303233.029173,303156.862540,-22972.460002,306203.800780
580,315179.812500,335091.277284,0.000000,303233.029173,303156.862540,-219275.758578,306203.800780
581,317739.687500,335123.400732,0.000000,303233.029173,303156.862540,77.045947,306203.800780
582,319276.593750,335142.676041,0.000000,303233.029173,303156.862540,-100686.973760,306203.800780
583,320772.500000,335161.429166,0.000000,303233.029173,303156.862540,3439.097778,306203.800780
584,322407.156250,335181.912705,0.000000,303233.029173,303156.862540,-128178.503360,306203.800780
585,324668.687500,335210.235998,0.000000,303233.029173,303156.862540,110912.897937,306203.800780
586,324699.406250,335210.620594,0.000000,303233.029173,303156.862540,140289.616518,306203.800780
587,327480.781250,335245.429433,0.000000,303233.029173,303156.862540,85838.960890,306203.800780
588,327757.562500,335248.891857,0.000000,303233.029173,303156.862540,43953.218703,306203.800780
589,329480.000000,335270.432816,0.000000,303233.029173,303156.862540,-31022.871811,306203.800780
590,337669.000000,335372.702674,0.000568,303233.029173,303156.862540,21676.766759,306203.800780
591,338805.093750,335386.872398,0.000000,303233.029173,303156.862540,246856.087002,306203.800780
592,340499.750000,335408.000276,0.000000,303233.029173,303156.862540,35010.019845,306203.800780
593,341121.062500,335415.743874,0.000000,303233.029173,303156.862540,-66759.284989,306203.800780
594,341301.468750,335417.992076,0.000000,303233.029173,303156.862540,49578.397656,306203.800780
595,342301.656250,335430.454225,0.000000,303233.029173,303156.862540,-213899.422901,306203.800780
596,347772.125000,335498.553173,0.000000,303233.029173,303156.862540,-42386.548099,306203.800780
597,347818.906250,335499.135076,0.000000,303233.029173,303156.862540,-93078.537039,306203.800780
598,352109.156250,335552.468005,0.000000,303233.029173,303156.862540,480.256539,306203.800780
599,355966.468750,335600.363945,0.000000,303233.029173,303156.862540,378391.312262,306203.800780
600,358456.187500,335631.250909,0.000000,303233.029173,303156.862540,168221.562071,306203.800780
601,361182.406250,335665.046952,0.000000,303233.029173,303156.862540,129047.599697,306203.800780
602,361594.937500,335670.158700,0.000000,303233.029173,303156.862540,-140318.929391,306203.800780
603,365740.500000,335721.494044,0.000000,303233.029173,303156.862540,11727.205249,306203.800780
604,371773.187500,335796.090639,0.000000,303233.029173,303156.862540,19509.578582,306203.800780
