#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
399,-0.000018,334374.498932,0.000000,303251.128623,303156.862540,117356.104865,306203.800780
400,-0.000014,334366.725747,0.000000,303251.128623,303156.862540,-219275.758578,306203.800780
401,-0.000007,334351.167129,0.000000,303251.128623,303156.862540,246856.087002,306203.800780
402,-0.000004,334346.062497,0.000000,303251.128623,303156.862540,35010.019845,306203.800780
403,-0.000002,334340.682556,0.000000,303251.128623,303156.862540,107803.097007,306203.800780
404,0.000026,334284.731399,0.000000,303251.128623,303156.862540,-36061.571694,306203.800780
405,0.000031,334273.858209,0.000000,303251.128623,303156.862540,-42386.548099,306203.800780
406,0.000039,334258.402555,327321.671450,303251.128623,303156.862540,-146473.783618,306203.800780
407,0.000058,334219.316252,0.000000,303251.128623,303156.862540,-128178.503360,306203.800780
408,0.000069,334197.394855,0.000000,303251.128623,303156.862540,124927.533710,306203.800780
409,0.000119,334095.782842,0.000000,303251.128623,303156.862540,-22972.460002,306203.800780
410,0.000129,334075.367122,0.000000,303251.128623,303156.862540,480.256539,306203.800780
411,0.000134,334065.428987,0.000000,303251.128623,303156.862540,19509.578582,306203.800780
412,0.000141,334050.459192,0.000000,303251.128623,303156.862540,168221.562071,306203.800780
413,0.000142,334049.822794,0.000000,303251.128623,303156.862540,-46921.438321,306203.800780
414,0.000143,334046.767898,0.000000,303251.128623,303156.862540,49578.397656,306203.800780
415,0.000178,333975.575547,0.000000,303251.128623,303156.862540,87551.033028,306203.800780
416,0.000237,333856.206826,0.000000,303251.128623,303156.862540,320316.308437,306203.800780
417,0.000245,333840.310118,0.000000,303251.128623,303156.862540,3439.097778,306203.800780
418,0.000252,333825.680143,0.000000,303251.128623,303156.862540,43953.218703,306203.800780
419,0.000283,333762.584382,0.000000,303251.128623,303156.862540,-39120.186257,306203.800780
420,0.000313,333701.347999,0.000000,303251.128623,303156.862540,57148.435187,306203.800780
421,0.000323,333680.399859,0.000000,303251.128623,303156.862540,-140318.929391,306203.800780
422,0.000333,333659.079799,0.000000,303251.128623,303156.862540,-100686.973760,306203.800780
423,0.000339,333646.838738,0.000000,303251.128623,303156.862540,-59025.027847,306203.800780
424,0.000342,333641.189076,0.000000,303251.128623,303156.862540,-398351.457117,306203.800780
425,0.000348,333629.471150,0.000000,303251.128623,303156.862540,38865.317782,306203.800780
426,0.000350,333625.046685,0.000000,303251.128623,303156.862540,110912.897937,306203.800780
427,0.000356,333613.152950,0.000000,303251.128623,303156.862540,-2385.726460,306203.800780
428,0.000366,333592.724123,0.000000,303251.128623,303156.862540,178572.437553,306203.800780
429,0.000403,333516.648070,0.000000,303251.128623,303156.862540,-91518.703179,306203.800780
430,0.000412,333499.468978,0.000000,303251.128623,303156.862540,-31022.871811,306203.800780
431,0.000421,333480.905610,0.000000,303251.128623,303156.862540,44080.754593,306203.800780
432,0.000435,333452.535614,0.000000,303251.128623,303156.862540,82162.906552,306203.800780
433,0.000443,333435.793903,0.000000,303251.128623,303156.862540,78440.559233,306203.800780
434,0.000496,333326.958229,0.000000,303251.128623,303156.862540,91765.940016,306203.800780
435,0.000515,333288.654923,0.000000,303251.128623,303156.862540,-102056.621617,306203.800780
436,0.000518,333282.445421,327320.160878,303251.128623,303156.862540,38430.784281,306203.800780
437,0.000522,333273.739091,0.000000,303251.128623,303156.862540,-254787.157436,306203.800780
438,0.000535,333246.960222,0.000000,303251.128623,303156.862540,39825.300603,306203.800780
439,0.000582,333151.225979,0.000000,303251.128623,303156.862540,-47304.612536,306203.800780
440,0.000609,333095.921055,0.000000,303251.128623,303156.862540,131805.785010,306203.800780
441,0.000652,333007.831285,0.000000,303251.128623,303156.862540,185986.740496,306203.800780
442,0.000656,333000.130415,0.000000,303251.128623,303156.862540,-187906.082309,306203.800780
443,0.000674,332962.649050,0.000000,303251.128623,303156.862540,-256505.863087,306203.800780
444,0.000702,332904.926377,0.000000,303251.128623,303156.862540,-39178.655815,306203.800780
445,0.000722,332863.923961,0.000000,303251.128623,303156.862540,31089.339060,306203.800780
446,0.000732,332843.723853,0.000000,303251.128623,303156.862540,85065.589806,306203.800780
447,0.000766,332774.151561,0.000000,303251.128623,303156.862540,250368.293171,306203.800780
448,0.000785,332734.172140,0.000000,303251.128623,303156.862540,130007.665844,306203.800780
