#Sample,Regressor_0_EUR-EURIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
132,-0.008625,165097.968163,0.000000,93642.128340,102512.834978,-129642.178866,141479.644761
133,-0.008587,164950.695361,0.000000,93642.128340,102512.834978,-25714.251160,141479.644761
134,-0.008530,164724.491560,0.000000,93642.128340,102512.834978,114449.388491,141479.644761
135,-0.008526,164709.202218,0.000000,93642.128340,102512.834978,14771.726743,141479.644761
136,-0.008404,164226.029229,0.000000,93642.128340,102512.834978,-119265.589607,141479.644761
137,-0.008311,163856.236811,0.000000,93642.128340,102512.834978,62307.271404,141479.644761
138,-0.008240,163571.046105,0.000000,93642.128340,102512.834978,-45210.486592,141479.644761
139,-0.008199,163410.988713,110754.511119,93642.128340,102512.834978,49387.815980,141479.644761
140,-0.008177,163323.196912,0.000000,93642.128340,102512.834978,-20807.513259,141479.644761
141,-0.008147,163202.193475,0.000000,93642.128340,102512.834978,17060.798129,141479.644761
142,-0.008146,163195.788628,0.000000,93642.128340,102512.834978,-28719.643481,141479.644761
143,-0.008140,163174.335739,0.000000,93642.128340,102512.834978,-49751.261541,141479.644761
144,-0.008082,162942.587555,0.000000,93642.128340,102512.834978,10957.965905,141479.644761
145,-0.008017,162680.093565,0.000000,93642.128340,102512.834978,-69178.333780,141479.644761
146,-0.007962,162459.282678,110752.380362,93642.128340,102512.834978,-13123.795070,141479.644761
147,-0.007939,162369.700654,0.000000,93642.128340,102512.834978,45933.042812,141479.644761
148,-0.007831,161936.124470,0.000000,93642.128340,102512.834978,-21325.705974,141479.644761
149,-0.007777,161717.137041,0.000000,93642.128340,102512.834978,114372.956840,141479.644761
150,-0.007715,161466.960681,0.000000,93642.128340,102512.834978,-4771.998728,141479.644761
151,-0.007713,161456.989525,0.000000,93642.128340,102512.834978,74177.302542,141479.644761
