#Sample,Regressor_0_USD,Regressor_1_EUR-EURIBOR-3M,Regressor_2_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
96,0.636996,-0.004096,0.001582,1221149.665708,1671658.352030,1783984.252988,1852540.738136,-639743.959056,2093807.545081
97,0.638155,-0.003853,-0.017055,1101455.404003,0.000000,1783984.252988,1852540.738136,-73705.099273,2093807.545081
98,0.639055,0.005219,0.036725,1239461.455330,0.000000,1783984.252988,1852540.738136,753690.870959,2093807.545081
99,0.639332,0.011709,-0.008724,1119430.141532,0.000000,1783984.252988,1852540.738136,170717.070806,2093807.545081
100,0.639904,0.000955,0.020026,1244359.609707,0.000000,1783984.252988,1852540.738136,-207673.952928,2093807.545081
101,0.641082,0.008372,0.010728,1213472.380389,0.000000,1783984.252988,1852540.738136,325946.119016,2093807.545081
102,0.641325,-0.015889,-0.010954,1386508.822796,0.000000,1783984.252988,1852540.738136,102741.187156,2093807.545081
103,0.641629,-0.004275,0.026626,1300974.546424,0.000000,1783984.252988,1852540.738136,634530.319020,2093807.545081
104,0.642358,0.003066,0.031735,1253880.588572,1675295.584077,1783984.252988,1852540.738136,-811989.485178,2093807.545081
105,0.644814,-0.001197,0.021946,1276573.268565,0.000000,1783984.252988,1852540.738136,-313788.456077,2093807.545081
106,0.645267,-0.003713,0.010464,1275857.528125,0.000000,1783984.252988,1852540.738136,-425090.113363,2093807.545081
107,0.645817,0.012628,0.027152,1288936.706768,0.000000,1783984.252988,1852540.738136,-346917.326834,2093807.545081
108,0.649984,-0.006177,0.012334,1325303.927016,0.000000,1783984.252988,1852540.738136,-1391550.113448,2093807.545081
109,0.650581,0.002426,-0.019395,1060250.744951,0.000000,1783984.252988,1852540.738136,972064.183798,2093807.545081
110,0.650834,-0.000694,-0.002561,1207537.554799,0.000000,1783984.252988,1852540.738136,262782.341424,2093807.545081
111,0.653567,-0.002351,0.018020,1305561.327466,0.000000,1783984.252988,1852540.738136,-288274.962410,2093807.545081
112,0.653790,0.011174,0.007317,1251250.451232,0.000000,1783984.252988,1852540.738136,74793.441027,2093807.545081
113,0.654018,0.015883,0.022090,1336693.762383,0.000000,1783984.252988,1852540.738136,710767.487844,2093807.545081
114,0.655006,-0.004969,0.030853,1348672.729073,0.000000,1783984.252988,1852540.738136,595682.564528,2093807.545081
115,0.655830,0.012706,0.023311,1313068.288055,0.000000,1783984.252988,1852540.738136,1165291.563753,2093807.545081
116,0.655847,-0.004169,0.007239,1301536.837387,0.000000,1783984.252988,1852540.738136,674499.071794,2093807.545081
117,0.656890,0.001900,0.039013,1297105.011372,0.000000,1783984.252988,1852540.738136,-637045.841799,2093807.545081
118,0.657452,-0.005259,0.005134,1311809.663024,0.000000,1783984.252988,1852540.738136,675581.737949,2093807.545081
119,0.658129,-0.010407,0.014349,1417478.882688,1686127.137183,1783984.252988,1852540.738136,80826.958874,2093807.545081
120,0.658422,-0.007166,0.001243,1325342.564504,0.000000,1783984.252988,1852540.738136,-587480.365645,2093807.545081
121,0.659000,0.020689,0.020383,1411899.825228,0.000000,1783984.252988,1852540.738136,728415.294548,2093807.545081
122,0.660048,0.001043,0.004761,1258562.495427,0.000000,1783984.252988,1852540.738136,444094.277324,2093807.545081
123,0.661342,0.009258,0.041063,1311002.074368,0.000000,1783984.252988,1852540.738136,1071257.704019,2093807.545081
124,0.661476,-0.005208,0.030997,1369864.786561,0.000000,1783984.252988,1852540.738136,159707.040256,2093807.545081
125,0.661703,-0.007884,0.024946,1402926.865059,0.000000,1783984.252988,1852540.738136,-256219.922401,2093807.545081
126,0.663459,0.000245,0.033980,1327782.604197,0.000000,1783984.252988,1852540.738136,-670796.071344,2093807.545081
127,0.664625,-0.016844,-0.006016,1496080.696931,1690649.108833,1783984.252988,1852540.738136,1010354.685277,2093807.545081
128,0.665252,0.017347,0.042503,1392190.858790,1691087.696733,1783984.252988,1852540.738136,-183023.351239,2093807.545081
129,0.666516,0.000443,0.019162,1324328.858339,0.000000,1783984.252988,1852540.738136,57945.423793,2093807.545081
130,0.666694,0.018107,0.036114,1409873.053770,1692097.359354,1783984.252988,1852540.738136,377330.974593,2093807.545081
131,0.668426,0.014187,0.015928,1345206.210643,0.000000,1783984.252988,1852540.738136,72678.695660,2093807.545081
132,0.669687,0.004221,-0.006137,1217636.594730,0.000000,1783984.252988,1852540.738136,-52204.591471,2093807.545081
133,0.669709,-0.005217,0.039534,1387668.898661,0.000000,1783984.252988,1852540.738136,631565.876968,2093807.545081
134,0.669933,-0.018543,-0.002523,1563755.889535,0.000000,1783984.252988,1852540.738136,-921777.676772,2093807.545081
135,0.671319,-0.001698,0.048482,1342771.832595,0.000000,1783984.252988,1852540.738136,-414992.038553,2093807.545081
136,0.672813,0.001430,0.008596,1308909.956759,0.000000,1783984.252988,1852540.738136,539236.396693,2093807.545081
137,0.673331,-0.005974,0.031019,1412179.200269,0.000000,1783984.252988,1852540.738136,-114577.797376,2093807.545081
138,0.674148,-0.008019,-0.004228,1358293.309537,0.000000,1783984.252988,1852540.738136,338797.155115,2093807.545081
139,0.674362,0.022048,0.021141,1474272.645626,0.000000,1783984.252988,1852540.738136,605895.861480,2093807.545081
140,0.674800,0.004201,0.029968,1346231.404717,0.000000,1783984.252988,1852540.738136,233476.559975,2093807.545081
141,0.676624,0.008970,0.011434,1322314.826217,0.000000,1783984.252988,1852540.738136,145728.234685,2093807.545081
142,0.676684,0.002052,0.025412,1354384.193095,0.000000,1783984.252988,1852540.738136,-172371.960879,2093807.545081
143,0.677062,0.004385,0.039491,1349467.590388,1699409.438710,1783984.252988,1852540.738136,-270554.349508,2093807.545081
144,0.677568,0.022944,0.024755,1503362.667498,0.000000,1783984.252988,1852540.738136,-1212499.343146,2093807.545081
145,0.680342,-0.002102,0.021923,1386466.044860,0.000000,1783984.252988,1852540.738136,762709.103228,2093807.545081
146,0.681172,-0.004880,0.020032,1413374.493093,0.000000,1783984.252988,1852540.738136,-523390.353934,2093807.545081
147,0.681396,0.000889,0.012623,1349300.746165,0.000000,1783984.252988,1852540.738136,-19552.767056,2093807.545081
148,0.682443,0.005945,0.013022,1338978.037076,0.000000,1783984.252988,1852540.738136,430575.283455,2093807.545081
149,0.683200,-0.007141,0.009225,1423350.204138,0.000000,1783984.252988,1852540.738136,-74831.061787,2093807.545081
150,0.685040,-0.001313,0.008291,1361489.755825,0.000000,1783984.252988,1852540.738136,576336.640044,2093807.545081
151,0.685111,0.019040,0.037875,1470083.530132,0.000000,1783984.252988,1852540.738136,1506106.744656,2093807.545081
152,0.688673,0.012184,0.029045,1406700.208273,0.000000,1783984.252988,1852540.738136,-1405134.999009,2093807.545081
153,0.690451,0.012099,0.052027,1390599.223733,0.000000,1783984.252988,1852540.738136,-324730.330262,2093807.545081
154,0.691438,-0.010633,0.008593,1496972.130224,0.000000,1783984.252988,1852540.738136,260635.878895,2093807.545081
155,0.691689,0.010012,0.043002,1398151.483374,0.000000,1783984.252988,1852540.738136,-1949013.814861,2093807.545081
156,0.692120,0.021266,0.023175,1509880.856993,0.000000,1783984.252988,1852540.738136,-111089.416884,2093807.545081
157,0.692141,0.004645,0.030972,1394984.289538,1710217.705406,1783984.252988,1852540.738136,-1384859.219249,2093807.545081
158,0.692530,0.006349,0.015316,1373807.065337,0.000000,1783984.252988,1852540.738136,-406238.492952,2093807.545081
159,0.693045,0.011257,0.038216,1413226.321349,0.000000,1783984.252988,1852540.738136,942762.668134,2093807.545081
160,0.693681,0.006606,0.010890,1364478.489728,0.000000,1783984.252988,1852540.738136,357122.707206,2093807.545081
161,0.693744,-0.014130,0.051832,1560169.167297,0.000000,1783984.252988,1852540.738136,-783032.897976,2093807.545081
162,0.693779,-0.009659,0.013562,1499784.267762,0.000000,1783984.252988,1852540.738136,534066.177372,2093807.545081
163,0.694476,-0.005395,0.035728,1462073.232892,0.000000,1783984.252988,1852540.738136,1069822.685650,2093807.545081
164,0.695389,0.006655,0.005974,1351800.052801,0.000000,1783984.252988,1852540.738136,115690.547033,2093807.545081
165,0.696693,-0.009026,0.007290,1481603.568455,0.000000,1783984.252988,1852540.738136,20859.062344,2093807.545081
166,0.699293,0.017283,0.013900,1454200.523943,0.000000,1783984.252988,1852540.738136,-879776.697019,2093807.545081
167,0.699835,0.005909,0.035698,1415725.169113,0.000000,1783984.252988,1852540.738136,31779.000479,2093807.545081
