#Sample,Regressor_0_USD,Regressor_1_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
490,0.872307,0.018818,696297.198849,0.000000,653156.605559,686680.771158,-299130.406896,705674.475361
491,0.872711,0.021891,686540.102719,0.000000,653156.605559,686680.771158,176385.228824,705674.475361
492,0.874802,0.004622,743467.876251,0.000000,653156.605559,686680.771158,-110397.882716,705674.475361
493,0.875350,0.011232,723405.302533,0.000000,653156.605559,686680.771158,328786.463791,705674.475361
494,0.875597,0.012256,720391.589873,0.000000,653156.605559,686680.771158,310369.656131,705674.475361
495,0.876135,0.022220,688646.793176,0.000000,653156.605559,686680.771158,242563.786807,705674.475361
496,0.876963,0.015854,710152.580950,697555.979943,653156.605559,686680.771158,156801.401318,705674.475361
497,0.877251,0.015668,711010.911170,0.000000,653156.605559,686680.771158,-324055.270704,705674.475361
498,0.877353,0.018542,701831.729777,0.000000,653156.605559,686680.771158,117681.793670,705674.475361
499,0.877527,0.033658,651064.549338,0.000000,653156.605559,686680.771158,-230120.577891,705674.475361
500,0.877531,0.044283,612747.112929,0.000000,653156.605559,686680.771158,569394.878258,705674.475361
501,0.878153,0.033585,651936.494617,0.000000,653156.605559,686680.771158,-87664.612611,705674.475361
502,0.878433,-0.004036,772576.360574,0.000000,653156.605559,686680.771158,341029.330762,705674.475361
503,0.878577,0.033135,653924.884284,0.000000,653156.605559,686680.771158,161295.346217,705674.475361
504,0.878884,0.023645,686490.573522,0.000000,653156.605559,686680.771158,605479.998233,705674.475361
505,0.878992,-0.001203,764641.057696,0.000000,653156.605559,686680.771158,-9295.224881,705674.475361
506,0.879300,0.047018,604368.491922,0.000000,653156.605559,686680.771158,-101510.759590,705674.475361
507,0.880014,0.015543,713901.290342,0.000000,653156.605559,686680.771158,-182374.482032,705674.475361
508,0.881062,0.008036,738390.549293,0.000000,653156.605559,686680.771158,-169129.377597,705674.475361
509,0.881524,0.036624,644590.051675,0.000000,653156.605559,686680.771158,314663.001385,705674.475361
510,0.883021,0.008902,737420.331410,0.000000,653156.605559,686680.771158,187436.255349,705674.475361
511,0.883085,0.020153,701844.491648,0.000000,653156.605559,686680.771158,-186535.986357,705674.475361
512,0.884461,-0.023222,831910.472142,0.000000,653156.605559,686680.771158,135725.502987,705674.475361
513,0.884983,0.023267,693416.807302,0.000000,653156.605559,686680.771158,296019.298912,705674.475361
514,0.885218,0.016253,716310.856199,700682.018154,653156.605559,686680.771158,-2401.217490,705674.475361
515,0.885285,0.011329,731869.918903,700707.626567,653156.605559,686680.771158,385390.671292,705674.475361
516,0.885569,-0.002595,774255.780510,0.000000,653156.605559,686680.771158,-8419.364675,705674.475361
517,0.886373,0.036450,650015.272957,701121.052359,653156.605559,686680.771158,-8002.387879,705674.475361
518,0.886642,-0.004742,781430.703110,0.000000,653156.605559,686680.771158,-193888.960729,705674.475361
519,0.887310,0.007598,745146.397116,0.000000,653156.605559,686680.771158,-134748.413606,705674.475361
520,0.888091,0.028414,679233.301835,0.000000,653156.605559,686680.771158,143153.506110,705674.475361
521,0.889219,0.027382,683747.875965,0.000000,653156.605559,686680.771158,75788.113011,705674.475361
