#Sample,Regressor_0_USD,Regressor_1_GBP,Regressor_2_EUR-EURIBOR-3M,Regressor_3_USD-LIBOR-3M,Regressor_4_GBP-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
118,0.841885,1.211570,-0.003420,0.014007,0.008370,2739838.517965,0.000000,3123367.199325,3125613.409752,1317985.642968,3046376.959391
119,0.841981,1.239184,-0.001633,0.006363,0.008722,3147232.061037,0.000000,3123367.199325,3125613.409752,1148995.700862,3046376.959391
120,0.841982,1.219189,-0.002259,0.008561,0.002505,3086901.733939,3125420.509946,3123367.199325,3125613.409752,-335128.892572,3046376.959391
121,0.841990,1.204791,-0.001966,0.005179,0.006646,3174680.369864,0.000000,3123367.199325,3125613.409752,1407684.342668,3046376.959391
122,0.842058,1.242209,-0.002923,0.005106,0.006439,3187548.459007,0.000000,3123367.199325,3125613.409752,-591568.038771,3046376.959391
123,0.842311,1.197444,-0.002648,0.013290,0.006971,2799449.046561,0.000000,3123367.199325,3125613.409752,147058.136787,3046376.959391
124,0.842394,1.254786,-0.007126,0.012016,0.005718,2788638.178936,0.000000,3123367.199325,3125613.409752,-439838.496884,3046376.959391
125,0.842414,1.191495,0.001026,0.010376,0.005459,3049838.792054,0.000000,3123367.199325,3125613.409752,924917.635286,3046376.959391
126,0.842553,1.236926,-0.000492,0.007368,0.007686,3148379.817640,0.000000,3123367.199325,3125613.409752,-956363.926433,3046376.959391
127,0.842640,1.227053,0.000763,0.002034,0.003722,3419532.680668,0.000000,3123367.199325,3125613.409752,-342569.580058,3046376.959391
128,0.842696,1.210496,-0.003504,0.004936,0.006390,3148779.552702,0.000000,3123367.199325,3125613.409752,-2021564.734767,3046376.959391
129,0.842771,1.245032,-0.001460,0.008301,0.006583,3102109.925553,0.000000,3123367.199325,3125613.409752,1551965.743111,3046376.959391
130,0.842810,1.273921,-0.000485,0.009646,0.007685,3091382.822033,0.000000,3123367.199325,3125613.409752,-158152.085657,3046376.959391
131,0.842854,1.251866,0.001003,0.006353,0.005461,3267268.936626,0.000000,3123367.199325,3125613.409752,-615595.298049,3046376.959391
132,0.842888,1.233993,-0.003923,0.008074,0.004626,3049752.489212,0.000000,3123367.199325,3125613.409752,1456280.994020,3046376.959391
133,0.842939,1.265729,-0.000648,0.011346,0.007127,3014129.304819,0.000000,3123367.199325,3125613.409752,235746.285299,3046376.959391
134,0.843105,1.242051,0.003077,0.012399,0.007324,3055502.316649,0.000000,3123367.199325,3125613.409752,-1971746.799810,3046376.959391
135,0.843175,1.198689,-0.000001,0.007444,0.006245,3138570.076479,0.000000,3123367.199325,3125613.409752,-1108151.586977,3046376.959391
136,0.843207,1.222874,-0.001853,0.004709,0.007202,3207824.189603,0.000000,3123367.199325,3125613.409752,25463.780887,3046376.959391
137,0.843213,1.245263,-0.001100,0.009012,0.011817,3027086.411961,0.000000,3123367.199325,3125613.409752,-1154749.000666,3046376.959391
138,0.843317,1.247676,-0.006813,0.004019,0.006229,3127798.419471,0.000000,3123367.199325,3125613.409752,281119.597193,3046376.959391
